name,city,country
Int. Event (L+B+S) Rock Junior - Arco (ITA) 2005,Arco,ITA
Int. Youth Event - Citta di Ravenna (ITA) 2005,Ravenna,ITA
Int. Event - EYOF Climbing Demonstration Ligano (ITA),Demonstration Ligano,ITA
Int. Youth Event - Petzen Trophy Kärnten 2005,Kärnten,
Int. Youth Event - EYOF - Lignano (ITA) 2005,Lignano,ITA
Int. Event (L) - Serre Chevalier (FRA) 2005,Serre Chevalier,FRA
Int. Event (B) - L'Argentiere (FRA) 2005,L'Argentiere,FRA
Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2005,Arco,ITA
Int. Event (L) - Lisbon (POR) 2005,Lisbon,POR
UIAA World Youth Championship - Imst (AUT) 2006,Imst,AUT
UIAA Asian Championships - Kaoshiung (TPE) 2006,Kaoshiung,TPE
UIAA European Championship - Ekatarinburg (RUS) 2006,Ekatarinburg,RUS
Central South America Championship - San Juan de los Morros (VEN),San Juan de los Morros,VEN
North American Championships (L+S) - Denver Colorado (USA) 2006,Denver Colorado,USA
UIAA Climbing Worldcup (B) - Birmingham (GBR) 2006,Birmingham,GBR
UIAA Climbing Worldcup (B+S) - Veliko Tarnovo (BUL) 2006,Veliko Tarnovo,BUL
UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,Puurs,BEL
UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,Rovereto,ITA
UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,Dresden,GER
UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,Grindelwald,SUI
UIAA Climbing Worldcup (B) - Fiera di Primiero (ITA) 2006,Fiera di Primiero,ITA
UIAA Climbing Worldcup (B) - Hall (AUT) 2006,Hall,AUT
UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,Chamonix,FRA
UIAA Climbing Worldcup (L) - Qinghai Province (CHN) 2006,Qinghai Province,CHN
UIAA Climbing Worldcup (S) - Val Daone (ITA) 2006,Val Daone,ITA
UIAA Climbing Worldcup (L+S) - Singapore (SIN) 2006,Singapore,SIN
UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,Kuala Lumpur,MAS
UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,Marbella,ESP
UIAA Climbing Worldcup (L+S) - Shanghai (CHN) 2006,Shanghai,CHN
UIAA Climbing Worldcup (B+S) - Moscow (RUS) 2006,Moscow,RUS
UIAA Climbing Worldcup (L) - Penne (ITA) 2006,Penne,ITA
UIAA Worldcup (L) - Kranj (SLO) 2006,Kranj,SLO
European Youth Cup - Imst (AUT) 2006 after disqualification,Imst,AUT
European Youth Cup - Gdansk (POL) 2006,Gdansk,POL
